( self: Sentence null, father: null, left: null, right: null )
( self: Expression DoubleOperand, father: Assignment, left: temp, right: null )
( self: Expression Variable, father: Expression, left: null, right: Operator )
( self: temp _Variable, father: Expression, left: null, right: null )
( self: Operator Operator, father: Expression, left: Expression, right: Expression )
( self: + _Operator, father: Operator, left: null, right: null )
( self: Expression ArrayItem, father: Expression, left: Operator, right: null )
( self: credit _ArrayName, father: Expression, left: null, right: i )
( self: i _ArrayIndex, father: Expression, left: credit, right: null )
( self: Expression SingleOperand, father: Control, left: Sentence, right: null )
( self: Operator Operator, father: Expression, left: null, right: Expression )
( self: ++ _Operator, father: Operator, left: null, right: null )
( self: Expression Variable, father: Expression, left: Operator, right: null )
( self: i _Variable, father: Expression, left: null, right: null )
( self: Assignment null, father: Sentence, left: Control, right: Control )
( self: mean IDENTIFIER, father: Assignment, left: null, right: Expression )
( self: Expression DoubleOperand, father: Assignment, left: mean, right: null )
( self: Expression Variable, father: Expression, left: null, right: Operator )
( self: sum _Variable, father: Expression, left: null, right: null )
( self: Operator Operator, father: Expression, left: Expression, right: Expression )
( self: / _Operator, father: Operator, left: null, right: null )
( self: Expression Variable, father: Expression, left: Operator, right: null )
( self: temp _Variable, father: Expression, left: null, right: null )
( self: Control IfElseControl, father: Sentence, left: Assignment, right: Return )
( self: IfControl null, father: Control, left: null, right: ElseControl )
( self: Expression DoubleOperand, father: IfControl, left: null, right: Sentence )
( self: Expression Variable, father: Expression, left: null, right: Operator )
( self: mean _Variable, father: Expression, left: null, right: null )
( self: Operator Operator, father: Expression, left: Expression, right: Expression )
( self: >= _Operator, father: Operator, left: null, right: null )
( self: Expression Constant, father: Expression, left: Operator, right: null )
( self: 60 _Constant, father: Expression, left: null, right: null )
( self: Sentence null, father: IfControl, left: Expression, right: null )
( self: Assignment null, father: Sentence, left: null, right: FunctionCall )
( self: mean IDENTIFIER, father: Assignment, left: null, right: Expression )
( self: Expression DoubleOperand, father: Assignment, left: mean, right: null )
( self: Expression Variable, father: Expression, left: null, right: Operator )
( self: mean _Variable, father: Expression, left: null, right: null )
( self: Operator Operator, father: Expression, left: Expression, right: Expression )
( self: - _Operator, father: Operator, left: null, right: null )
( self: Expression Constant, father: Expression, left: Operator, right: null )
( self: 60 _Constant, father: Expression, left: null, right: null )
( self: FunctionCall null, father: Sentence, left: Assignment, right: null )
( self: printf FUNCTION_NAME, father: FunctionCall, left: null, right: CallParameterList )
( self: CallParameterList null, father: FunctionCall, left: printf, right: null )
( self: the score of student number %d is %f higher than 60.\n STRING_CONSTANT, father: CallParameterList, left: null, right: stu_number )
( self: stu_number IDENTIFIER, father: CallParameterList, left: the score of student number %d is %f higher than 60.\n, right: mean )
( self: mean IDENTIFIER, father: CallParameterList, left: stu_number, right: null )
( self: ElseControl null, father: Control, left: IfControl, right: null )
( self: Sentence null, father: ElseControl, left: null, right: null )
( self: Assignment null, father: Sentence, left: null, right: FunctionCall )
( self: mean IDENTIFIER, father: Assignment, left: null, right: Expression )
( self: Expression DoubleOperand, father: Assignment, left: mean, right: null )
( self: Expression Constant, father: Expression, left: null, right: Operator )
( self: 60 _Constant, father: Expression, left: null, right: null )
( self: Operator Operator, father: Expression, left: Expression, right: Expression )
( self: - _Operator, father: Operator, left: null, right: null )
( self: Expression Variable, father: Expression, left: Operator, right: null )
( self: mean _Variable, father: Expression, left: null, right: null )
( self: FunctionCall null, father: Sentence, left: Assignment, right: null )
( self: printf FUNCTION_NAME, father: FunctionCall, left: null, right: CallParameterList )
( self: CallParameterList null, father: FunctionCall, left: printf, right: null )
( self: the score of student number %d is %f lower than 60.\n STRING_CONSTANT, father: CallParameterList, left: null, right: stu_number )
( self: stu_number IDENTIFIER, father: CallParameterList, left: the score of student number %d is %f lower than 60.\n, right: mean )
( self: mean IDENTIFIER, father: CallParameterList, left: stu_number, right: null )
( self: Return null, father: Sentence, left: Control, right: null )
( self: return null, father: Return, left: null, right: Expression )
( self: Expression Constant, father: Return, left: return, right: null )
( self: 0 _Constant, father: Expression, left: null, right: null )
